errMax,0.01433659039944363,errL2,0.009192205084455675
x,uex,uh
-1,-1.224646799147353e-16,-1.224646799147353e-16
-0.9935870074254803,-0.0201456474352427,-0.02042278082353126
-0.9795850090716571,-0.06409162563122649,-0.0648092330104299
-0.9604649608951239,-0.1238839008314455,-0.1249654918910432
-0.939535039104876,-0.1888159585734774,-0.1904429188927144
-0.9204149909283429,-0.2474269028718154,-0.2493325383087836
-0.9064129925745197,-0.2897946319158934,-0.2915031727396794
-0.9,-0.3090169943749475,-0.310563451596843
-0.9,-0.3090169943749475,-0.310563451596843
-0.8935870074254804,-0.3281139304524378,-0.329462317827414
-0.8795850090716572,-0.36933641926487,-0.3704033450266876
-0.8604649608951239,-0.4244571408730949,-0.4256528844212369
-0.839535039104876,-0.4830331963950882,-0.484246444146266
-0.8204149909283429,-0.5347255621971621,-0.5359515616360099
-0.8064129925745197,-0.5713677935771743,-0.5730862189959987
-0.8,-0.5877852522924732,-0.5897682458759637
-0.8,-0.5877852522924732,-0.5897682458759637
-0.7935870074254804,-0.6039641358527689,-0.6061032215120772
-0.7795850090716572,-0.6384279908627206,-0.641014510145789
-0.7604649608951239,-0.6834815585992882,-0.6869806238983029
-0.7395350391048761,-0.7299677794633732,-0.7343531562683973
-0.7204149909283429,-0.7696815578425857,-0.774350723847116
-0.7064129925745197,-0.7970114946496178,-0.8015722317569948
-0.7000000000000001,-0.8090169943749475,-0.8135005464967067
-0.7,-0.8090169943749475,-0.8135005464967067
-0.6935870074254803,-0.8206941235702567,-0.8250703592987241
-0.6795850090716571,-0.8450257825255565,-0.8491907897612446
-0.6604649608951239,-0.8756020392737469,-0.879531118836169
-0.639535039104876,-0.9054480302932014,-0.9091881277286837
-0.6204149909283428,-0.9292957599196309,-0.9333105716994834
-0.6064129925745196,-0.9446381575201442,-0.948921746322027
-0.6,-0.9510565162951536,-0.9554133527498635
-0.6,-0.9510565162951536,-0.9554133527498635
-0.5935870074254803,-0.9570888523604963,-0.9616246719117231
-0.5795850090716571,-0.9689065629539628,-0.9742090304915539
-0.5604649608951239,-0.9820124916659558,-0.9885733942782539
-0.539535039104876,-0.9922967192905481,-1.0000122548675
-0.5204149909283429,-0.9979440182314571,-1.006282148441921
-0.5064129925745197,-0.9997970558515438,-1.008404638177798
-0.5,-1,-1.008718732538428
-0.5,-1,-1.008718732538428
-0.4935870074254803,-0.9997970558515438,-1.008446858999936
-0.4795850090716571,-0.9979440182314571,-1.006000914105611
-0.460464960895124,-0.992296719290548,-0.9996418954934551
-0.4395350391048761,-0.9820124916659558,-0.9894138815707658
-0.4204149909283429,-0.9689065629539627,-0.9762874240011988
-0.4064129925745197,-0.9570888523604963,-0.9643996139673765
-0.4,-0.9510565162951535,-0.9585063738298033
-0.3999999999999999,-0.9510565162951535,-0.9585063738298033
-0.3935870074254803,-0.9446381575201441,-0.9525067317550011
-0.379585009071657,-0.9292957599196306,-0.9381524767927487
-0.3604649608951239,-0.9054480302932011,-0.9153076808171572
-0.339535039104876,-0.8756020392737468,-0.8866690601513555
-0.3204149909283428,-0.8450257825255563,-0.857137965961422
-0.3064129925745196,-0.8206941235702565,-0.8330813797506269
-0.2999999999999999,-0.8090169943749472,-0.8213547081067045
-0.2999999999999999,-0.8090169943749472,-0.8213547081067045
-0.2935870074254803,-0.797011494649618,-0.8091073622533953
-0.2795850090716571,-0.7696815578425857,-0.7811791496920069
-0.2604649608951239,-0.7299677794633731,-0.7406458273789706
-0.239535039104876,-0.6834815585992879,-0.693177545418512
-0.2204149909283428,-0.6384279908627205,-0.6477423536498541
-0.2064129925745196,-0.6039641358527686,-0.6132701290617177
-0.1999999999999999,-0.5877852522924729,-0.5970593189334007
-0.2,-0.587785252292473,-0.5970593189334007
-0.1935870074254803,-0.571367793577174,-0.5806386192159703
-0.1795850090716571,-0.5347255621971621,-0.5444131754341046
-0.1604649608951239,-0.4830331963950881,-0.4938329011370701
-0.139535039104876,-0.4244571408730947,-0.4360963642870932
-0.1204149909283428,-0.3693364192648699,-0.3812401448106919
-0.1064129925745196,-0.3281139304524376,-0.3401666319144195
-0.09999999999999995,-0.3090169943749472,-0.3210899449157351
-0.09999999999999998,-0.3090169943749473,-0.3210899449157351
-0.0935870074254803,-0.2897946319158932,-0.3016454916956444
-0.0795850090716571,-0.2474269028718151,-0.2582411375325707
-0.06046496089512392,-0.1888159585734773,-0.1975111714771226
-0.03953503910487603,-0.1238839008314453,-0.1306306930191673
-0.02041499092834287,-0.06409162563122647,-0.06984218151307837
-0.006412992574519646,-0.02014564743524255,-0.02542881084027271
2.775557561562891e-17,8.719671245021579e-17,-0.005210947794436032
0,0,-0.005210947794436032
0.006412992574519672,0.02014564743524263,0.01473653296076543
0.02041499092834289,0.06409162563122653,0.05802223329427949
0.03953503910487606,0.1238839008314453,0.1170439679101597
0.06046496089512395,0.1888159585734774,0.1811729146839144
0.07958500907165711,0.2474269028718151,0.2392732021385058
0.09358700742548033,0.2897946319158932,0.281496204458162
0.1,0.3090169943749474,0.3007089466509358
0.1000000000000001,0.3090169943749477,0.3007089466509358
0.1064129925745198,0.328113930452438,0.3198553848227731
0.120414990928343,0.3693364192648703,0.3613082868337377
0.1395350391048761,0.4244571408730949,0.4170937363852182
0.160464960895124,0.4830331963950884,0.47670525896891
0.1795850090716572,0.5347255621971624,0.5292464602884386
0.1935870074254804,0.5713677935771744,0.5659103124461169
0.2000000000000001,0.5877852522924734,0.5821207738450818
0.2000000000000002,0.5877852522924736,0.5821207738450818
0.2064129925745198,0.6039641358527692,0.5979983318044018
0.2204149909283431,0.6384279908627211,0.6316818857536535
0.2395350391048762,0.6834815585992884,0.6755250860028783
0.2604649608951241,0.7299677794633735,0.7210029144534706
0.2795850090716573,0.7696815578425862,0.7602499296228646
0.2935870074254805,0.7970114946496183,0.7873968682239828
0.3000000000000002,0.8090169943749477,0.7993269597724424
0.3,0.8090169943749475,0.7993269597724424
0.3064129925745197,0.8206941235702567,0.811019243241913
0.3204149909283429,0.8450257825255564,0.8355617457243859
0.3395350391048761,0.8756020392737469,0.8667849156730607
0.360464960895124,0.9054480302932012,0.8978056116775324
0.3795850090716572,0.9292957599196309,0.9223910638031246
0.3935870074254804,0.9446381575201442,0.9378299304417782
0.4,0.9510565162951535,0.9441917806105905
0.4000000000000001,0.9510565162951536,0.9441917806105905
0.4064129925745198,0.9570888523604965,0.9499990078239042
0.420414990928343,0.9689065629539628,0.9609011916188749
0.4395350391048762,0.9820124916659558,0.9725285824587871
0.4604649608951241,0.9922967192905481,0.9817312925240171
0.4795850090716572,0.9979440182314571,0.986707417723897
0.4935870074254805,0.9997970558515438,0.9882660594840811
0.5000000000000001,1,0.9884373129057855
0.5,1,0.9884373129057855
0.5064129925745197,0.9997970558515438,0.9883225866812095
0.5204149909283429,0.9979440182314571,0.9867787590006016
0.5395350391048761,0.992296719290548,0.9817690073462102
0.560464960895124,0.9820124916659557,0.9723578542402226
0.5795850090716571,0.9689065629539628,0.9599921898653448
0.5935870074254803,0.9570888523604963,0.9484420930164984
0.6,0.9510565162951536,0.9424175510587753
0.6000000000000001,0.9510565162951535,0.9424175510587753
0.6064129925745197,0.9446381575201442,0.9357556343729529
0.620414990928343,0.9292957599196308,0.9194845598769528
0.6395350391048762,0.905448030293201,0.8943574684768218
0.6604649608951241,0.8756020392737467,0.8633347068175238
0.6795850090716572,0.8450257825255563,0.8320363600541231
0.6935870074254804,0.8206941235702567,0.8075352792712269
0.7000000000000001,0.8090169943749475,0.7957684973953314
0.7000000000000002,0.8090169943749472,0.7957684973953314
0.7064129925745198,0.7970114946496178,0.7837494762978024
0.720414990928343,0.7696815578425855,0.7567111017931817
0.7395350391048763,0.729967779463373,0.7175271727239809
0.7604649608951242,0.6834815585992876,0.6718833873811527
0.7795850090716573,0.6384279908627202,0.6276799211894133
0.7935870074254805,0.6039641358527685,0.5934069713719026
0.8000000000000002,0.5877852522924728,0.5772107997647138
0.8,0.5877852522924732,0.5772107997647138
0.8064129925745197,0.5713677935771743,0.5606275899230658
0.8204149909283429,0.5347255621971621,0.523374179035893
0.8395350391048761,0.4830331963950882,0.470845717597316
0.860464960895124,0.4244571408730945,0.4112968507214032
